Name,2018,2019,2020,2021,2022,2023,2024,2025
GUDANG GARAM TBK - TOTAL DEBT % COMMON EQUITY,38.38,34.19,10.57,17.04,17.52,22.01,15.14,NA
GUDANG GARAM TBK - TOTAL DEBT % TOTAL CAPITAL/STD,27.74,25.48,9.56,14.56,14.91,18.04,13.15,NA
GUDANG GARAM TBK - BOOK VALUE-OUT SHARES-FISCAL,23456.948,26470.049,30415.661,30813.668,30069.257,31632.011,32179.672,NA
GUDANG GARAM TBK - PRICE TO BOOK VAL,3.3,2.93,1.57,1.23,1.02,0.8,0.62,0.29
INDOSAT TBK PT - RETURN ON ASSETS,-0.6,6.37,3.08,14.81,9.41,7.31,7.39,NA
INDOSAT TBK PT - TOTAL DEBT % COMMON EQUITY,223.24,236.64,234.37,368.87,197.52,175.21,163.79,NA
INDOSAT TBK PT - TOTAL DEBT % TOTAL CAPITAL/STD,67.27,68.72,68.3,76.67,63.91,61.51,59.95,NA
INDOSAT TBK PT - BOOK VALUE-OUT SHARES-FISCAL,514.089,585.362,546.127,422.367,878.833,953.34,1038.686,NA
INDOSAT TBK PT - PRICE TO BOOK VAL,2.33,1.09,0.89,3.92,1.49,1.76,2.71,1.38
PT VALE IND - RETURN ON ASSETS,2.88,2.6,3.86,7.1,7.9,9.83,1.99,NA
PT VALE IND - TOTAL DEBT % COMMON EQUITY,1.94,0.06,0.12,0.28,0.27,0.42,0.36,NA
PT VALE IND - TOTAL DEBT % TOTAL CAPITAL/STD,1.9,0.06,0.12,0.28,0.27,0.42,0.36,NA
PT VALE IND - BOOK VALUE-OUT SHARES-FISCAL,2689.201,2675.705,2815.418,3045.017,3639.181,3920.617,4175.233,NA
PT VALE IND - PRICE TO BOOK VAL,1.14,1.24,0.79,1.5,1.98,1.64,0.97,0.52
INDOFOOD SUKSES - RETURN ON ASSETS,5.77,6.43,6.07,5.78,4.88,5.94,6.02,NA
INDOFOOD SUKSES - TOTAL DEBT % COMMON EQUITY,87.89,60.8,126.29,128.51,123.02,109.28,109.07,NA
INDOFOOD SUKSES - TOTAL DEBT % TOTAL CAPITAL/STD,37.18,29.76,40.34,41.72,41.44,39.17,39.45,NA
INDOFOOD SUKSES - BOOK VALUE-OUT SHARES-FISCAL,3828.32,4302.519,4825.995,5496.855,6132.257,6741.474,7415.756,NA
INDOFOOD SUKSES - PRICE TO BOOK VAL,1.89,1.44,1.32,1.2,0.99,0.94,0.88,0.93
INDAH KIAT PULP - RETURN ON ASSETS,9.12,4.77,5.56,8.43,11.42,6.29,6.21,NA
INDAH KIAT PULP - TOTAL DEBT % COMMON EQUITY,115.9,98.43,86.15,75,59.89,57.61,72.37,NA
INDAH KIAT PULP - TOTAL DEBT % TOTAL CAPITAL/STD,53.68,49.6,46.28,42.86,37.45,36.55,41.98,NA
INDAH KIAT PULP - BOOK VALUE-OUT SHARES-FISCAL,9917.563,10167.567,10908.132,12389.111,15957.03,16897.069,18860.356,NA
INDAH KIAT PULP - PRICE TO BOOK VAL,1.16,0.79,0.45,0.81,0.49,0.44,0.51,0.27
HANJAYA - RETURN ON ASSETS,30.42,28.39,17.24,14.03,11.84,14.86,12.27,NA
HANJAYA - TOTAL DEBT % COMMON EQUITY,0.33,1.19,1.03,1.46,1.89,1.75,1.67,NA
HANJAYA - TOTAL DEBT % TOTAL CAPITAL/STD,0.32,1.18,1.02,1.44,1.85,1.72,1.64,NA
HANJAYA - BOOK VALUE-OUT SHARES-FISCAL,303.979,306.743,259.989,250.962,242.182,256.795,243.783,NA
HANJAYA - PRICE TO BOOK VAL,13.65,11.51,6.38,5.46,3.72,4.03,3.51,2.28
INDOCEMENT TUNG - RETURN ON ASSETS,4.08,6.64,6.73,6.8,7.26,7.24,7.18,NA
INDOCEMENT TUNG - TOTAL DEBT % COMMON EQUITY,0.5,0.48,2.26,1.34,5.05,13.38,11.03,NA
INDOCEMENT TUNG - TOTAL DEBT % TOTAL CAPITAL/STD,0.5,0.48,2.21,1.32,4.8,11.8,9.93,NA
INDOCEMENT TUNG - BOOK VALUE-OUT SHARES-FISCAL,6308.103,6269.712,6024.138,5809.031,5702.853,6111.647,6601.35,NA
INDOCEMENT TUNG - PRICE TO BOOK VAL,3.15,3.48,1.93,2.14,1.78,1.69,1.31,0.73
INDO TAMBANGRAYA - RETURN ON ASSETS,19.66,10.23,3.83,35.64,56.67,20.78,16.82,NA
INDO TAMBANGRAYA - TOTAL DEBT % COMMON EQUITY,0,1.19,7.58,4.3,2.55,3.01,3.75,NA
INDO TAMBANGRAYA - TOTAL DEBT % TOTAL CAPITAL/STD,0,1.19,7.11,4.15,2.49,2.92,3.61,NA
INDO TAMBANGRAYA - BOOK VALUE-OUT SHARES-FISCAL,12761.46,11269.819,10939.973,15709.715,26951.007,24376.476,27477.733,NA
INDO TAMBANGRAYA - PRICE TO BOOK VAL,2.15,1.77,0.71,0.79,1.02,1.56,0.98,0.85
PABRIK KERTAS TJIWI - RETURN ON ASSETS,11.07,7.38,6.89,9.55,15.12,5.98,9.29,NA
PABRIK KERTAS TJIWI - TOTAL DEBT % COMMON EQUITY,126.55,107.34,86,64.56,46.47,41.27,32.74,NA
PABRIK KERTAS TJIWI - TOTAL DEBT % TOTAL CAPITAL/STD,55.86,51.77,46.24,39.23,31.73,29.21,24.66,NA
PABRIK KERTAS TJIWI - BOOK VALUE-OUT SHARES-FISCAL,5708.696,6180.281,6823.363,8034.554,11100.513,11806.925,13855.964,NA
PABRIK KERTAS TJIWI - PRICE TO BOOK VAL,1.22,1.67,0.72,1.32,0.62,0.54,0.55,0.35
JASA MARGA (PERSERO) - RETURN ON ASSETS,3.87,3.86,3.44,3.25,4.94,8.52,5.97,NA
JASA MARGA (PERSERO) - TOTAL DEBT % COMMON EQUITY,205.14,238.94,344.27,307.9,242.45,252.06,175.85,NA
JASA MARGA (PERSERO) - TOTAL DEBT % TOTAL CAPITAL/STD,63.2,65.82,72.61,71.33,67.38,64.37,50.99,NA
JASA MARGA (PERSERO) - BOOK VALUE-OUT SHARES-FISCAL,2329.678,2574.127,2628.111,2839.104,3007.163,3842.923,4690.498,NA
JASA MARGA (PERSERO) - PRICE TO BOOK VAL,2.03,2.33,1.08,1.5,1.19,0.88,1.17,0.84
KALBE FARMA TBK PT - RETURN ON ASSETS,14.34,13.26,13.1,13.4,12.96,10.48,11.68,NA
KALBE FARMA TBK PT - TOTAL DEBT % COMMON EQUITY,2.44,5.14,6.65,3.2,5.73,2.9,2.46,NA
KALBE FARMA TBK PT - TOTAL DEBT % TOTAL CAPITAL/STD,2.28,4.66,5.96,2.86,5.02,2.62,2.23,NA
KALBE FARMA TBK PT - BOOK VALUE-OUT SHARES-FISCAL,311.966,339.052,371.334,417.715,440.708,463.054,495.934,NA
KALBE FARMA TBK PT - PRICE TO BOOK VAL,4.95,4.47,3.07,3.71,3.6,4.47,2.98,2.38
MATAHARI DEPARTMENT - RETURN ON ASSETS,21.53,28.77,-14.36,15.76,27.54,16.91,19.57,NA
MATAHARI DEPARTMENT - TOTAL DEBT % COMMON EQUITY,0,0,664.33,278.38,505.56,11713.52,872.7,NA
MATAHARI DEPARTMENT - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,86.92,73.57,83.49,99.15,89.72,NA
MATAHARI DEPARTMENT - BOOK VALUE-OUT SHARES-FISCAL,622.303,654.739,221.399,383.06,245.372,13.599,144.198,NA
MATAHARI DEPARTMENT - PRICE TO BOOK VAL,17.64,5.86,5.56,3.99,24.86,322.08,12.97,13.94
MEDIA NUSAN - RETURN ON ASSETS,11.59,15.33,11.52,13.02,10.11,5.33,5.74,NA
MEDIA NUSAN - TOTAL DEBT % COMMON EQUITY,46.91,38.98,28.24,16,7.17,7.44,7.93,NA
MEDIA NUSAN - TOTAL DEBT % TOTAL CAPITAL/STD,30.31,26.57,21.66,13.42,6.44,6.66,7.02,NA
MEDIA NUSAN - BOOK VALUE-OUT SHARES-FISCAL,789.557,939.39,1070.215,1282.339,1444.918,1517.01,1626.885,NA
MEDIA NUSAN - PRICE TO BOOK VAL,1.86,0.86,1.05,0.76,0.66,0.4,0.21,0.15
PERUSAHAAN GAS - RETURN ON ASSETS,5.12,1.78,-1.38,5.76,5.81,4.98,5.69,NA
PERUSAHAAN GAS - TOTAL DEBT % COMMON EQUITY,136.1,107.4,138.52,116.83,81.6,57.27,44.99,NA
PERUSAHAAN GAS - TOTAL DEBT % TOTAL CAPITAL/STD,52.25,45.96,51.14,47.32,38.44,30.39,25.72,NA
PERUSAHAAN GAS - BOOK VALUE-OUT SHARES-FISCAL,1528.111,1467.218,1293.825,1483.969,1692.597,1715.439,1877.275,NA
PERUSAHAAN GAS - PRICE TO BOOK VAL,1.54,1.53,0.65,0.89,0.8,0.8,0.73,0.84
PAKUWON JATI - RETURN ON ASSETS,11.42,11.43,4.15,5.9,6.11,7.56,6.95,NA
PAKUWON JATI - TOTAL DEBT % COMMON EQUITY,44.3,32.04,26.95,35.56,36.27,32.25,31.15,NA
PAKUWON JATI - TOTAL DEBT % TOTAL CAPITAL/STD,26.71,20.95,18.31,22.93,23.25,21.27,20.68,NA
PAKUWON JATI - BOOK VALUE-OUT SHARES-FISCAL,261.549,310.87,303.895,333.198,359.381,396.527,429.888,NA
PAKUWON JATI - PRICE TO BOOK VAL,2.41,2.25,1.33,1.61,1.42,1.2,1,0.77
LIPPO KARAWA - RETURN ON ASSETS,1.77,-2.08,-13.21,1.38,-1.76,2.01,39.18,NA
LIPPO KARAWA - TOTAL DEBT % COMMON EQUITY,79.32,42.58,92.01,105.95,138.3,132.36,30.72,NA
LIPPO KARAWA - TOTAL DEBT % TOTAL CAPITAL/STD,36.87,26.28,43.19,46.91,52.54,50.83,22.87,NA
LIPPO KARAWA - BOOK VALUE-OUT SHARES-FISCAL,653.453,407.625,275.443,264.877,216.179,216.072,421.412,NA
LIPPO KARAWA - PRICE TO BOOK VAL,0.59,0.6,0.53,0.76,0.6,0.41,0.16,0.19
CHAROEN POKPHAND - RETURN ON ASSETS,18.69,13.83,13.94,11.65,8.85,7.26,10.4,NA
CHAROEN POKPHAND - TOTAL DEBT % COMMON EQUITY,22.97,23.97,19.09,24.99,35.51,35.45,28.19,NA
CHAROEN POKPHAND - TOTAL DEBT % TOTAL CAPITAL/STD,18.66,19.33,16.02,19.99,26.19,26.16,21.98,NA
CHAROEN POKPHAND - BOOK VALUE-OUT SHARES-FISCAL,1181.59,1284.221,1422.919,1532.826,1604.493,1647.304,1846.198,NA
CHAROEN POKPHAND - PRICE TO BOOK VAL,3.18,4.83,3.07,4.52,3.37,2.72,2.86,2.23
TELKOM - RETURN ON ASSETS,10.33,10.31,10.51,10.9,8.75,10.19,NA,NA
TELKOM - TOTAL DEBT % COMMON EQUITY,44.57,52.31,63.85,56.79,48.77,50.19,NA,NA
TELKOM - TOTAL DEBT % TOTAL CAPITAL/STD,27.32,30.76,35.13,32.21,29.69,30.32,NA,NA
TELKOM - BOOK VALUE-OUT SHARES-FISCAL,998.463,1005.035,1034.976,1227.976,1304.816,1370.29,NA,NA
TELKOM - PRICE TO BOOK VAL,3.88,3.85,3.01,2.74,3.52,3.14,2.5,1.7
SURYA CITRA MEDIA - RETURN ON ASSETS,25.81,16.75,17.25,16.7,8.36,3.1,5.51,NA
SURYA CITRA MEDIA - TOTAL DEBT % COMMON EQUITY,0.37,0.24,40.46,9.59,4.04,0.26,0.27,NA
SURYA CITRA MEDIA - TOTAL DEBT % TOTAL CAPITAL/STD,0.33,0.21,25.36,7.59,3.38,0.23,0.24,NA
SURYA CITRA MEDIA - BOOK VALUE-OUT SHARES-FISCAL,62.531,66.657,51.732,101.067,119.342,118.176,117.908,NA
SURYA CITRA MEDIA - PRICE TO BOOK VAL,9.02,5.18,3.21,3.43,2.28,1.52,1.16,1.59
SARANA MENARA - RETURN ON ASSETS,13.21,11.9,12.1,9.04,7.99,8.12,7.88,NA
SARANA MENARA - TOTAL DEBT % COMMON EQUITY,142.97,173.86,198.9,390.53,312.29,273.25,274.03,NA
SARANA MENARA - TOTAL DEBT % TOTAL CAPITAL/STD,58.84,63.39,66.48,79.57,75.7,73.14,73.19,NA
SARANA MENARA - BOOK VALUE-OUT SHARES-FISCAL,158.222,173.777,203.332,241.591,289.174,330.456,381.692,NA
SARANA MENARA - PRICE TO BOOK VAL,4.35,4.29,3.44,4.57,3.49,2.78,2.24,1.34
SUMMARECON AGUNG - RETURN ON ASSETS,4.15,4.29,2.38,2.93,3.33,3.5,5.4,NA
SUMMARECON AGUNG - TOTAL DEBT % COMMON EQUITY,124.67,121.74,138.16,81.34,64.31,73.3,95.44,NA
SUMMARECON AGUNG - TOTAL DEBT % TOTAL CAPITAL/STD,48.71,48.69,51,38.55,33.48,36.93,43.25,NA
SUMMARECON AGUNG - BOOK VALUE-OUT SHARES-FISCAL,463.677,494.845,459.798,524.647,557.129,595.255,669.22,NA
SUMMARECON AGUNG - PRICE TO BOOK VAL,2.05,2.28,1.05,1.77,1.24,0.95,0.78,0.55
BUKIT ASAM - RETURN ON ASSETS,22.87,16.97,9.99,27.16,31.77,15.11,13.43,NA
BUKIT ASAM - TOTAL DEBT % COMMON EQUITY,5.2,3.46,5.56,4.35,4.75,6.07,10,NA
BUKIT ASAM - TOTAL DEBT % TOTAL CAPITAL/STD,4.87,3.31,5.22,4.14,4.5,5.69,9.04,NA
BUKIT ASAM - BOOK VALUE-OUT SHARES-FISCAL,1519.412,1631.607,1498.866,2094.474,2498.872,1865.948,1954.541,NA
BUKIT ASAM - PRICE TO BOOK VAL,2.25,2.46,1.32,1.21,1.42,2.13,1.5,1.37
TOWER BERSAMA - RETURN ON ASSETS,7.58,7.1,6.9,7.6,6.76,6.15,5.73,NA
TOWER BERSAMA - TOTAL DEBT % COMMON EQUITY,678.23,459.79,279.16,317.33,286.75,256.23,323.04,NA
TOWER BERSAMA - TOTAL DEBT % TOTAL CAPITAL/STD,86.14,80.61,72.32,75.04,73.06,70.83,75.16,NA
TOWER BERSAMA - BOOK VALUE-OUT SHARES-FISCAL,155.297,230.852,402.647,428.679,462.327,517.486,442.502,NA
TOWER BERSAMA - PRICE TO BOOK VAL,7.28,3.34,2.36,4.92,6.27,4.12,4.23,4.37
UNILEVER IND - RETURN ON ASSETS,47.83,36.92,35.73,29.8,29.05,27.92,20.99,NA
UNILEVER IND - TOTAL DEBT % COMMON EQUITY,6.07,75.07,80.51,63.33,32.12,22.2,92.15,NA
UNILEVER IND - TOTAL DEBT % TOTAL CAPITAL/STD,5.72,42.88,44.6,38.78,24.31,18.17,47.96,NA
UNILEVER IND - BOOK VALUE-OUT SHARES-FISCAL,198.64,138.45,129.42,113.27,104.777,88.63,56.337,NA
UNILEVER IND - PRICE TO BOOK VAL,52.26,70.06,56.02,57.16,33.02,47.39,47.57,23.25
UNITED TRACTORS - RETURN ON ASSETS,11.73,10.54,6.3,10.17,17.13,14.63,13.07,NA
UNITED TRACTORS - TOTAL DEBT % COMMON EQUITY,19.16,24.21,20.7,13.4,3.54,23.82,21.7,NA
UNITED TRACTORS - TOTAL DEBT % TOTAL CAPITAL/STD,15.3,18.74,16.5,11.34,3.25,18.34,17.04,NA
UNITED TRACTORS - BOOK VALUE-OUT SHARES-FISCAL,14417.529,15605.884,16161.984,18380.011,23321.193,21821.233,25592.588,NA
UNITED TRACTORS - PRICE TO BOOK VAL,2.47,1.63,1.06,1.24,1.22,1.39,0.99,0.85
WASKITA KARYA - RETURN ON ASSETS,5.02,2.42,-2.32,3.67,2.37,0.67,2.03,NA
WASKITA KARYA - TOTAL DEBT % COMMON EQUITY,359.11,396.41,863.4,674.01,710.71,1230.91,1997.26,NA
WASKITA KARYA - TOTAL DEBT % TOTAL CAPITAL/STD,69.11,70.88,79.69,81.45,81.95,84.86,87.67,NA
WASKITA KARYA - BOOK VALUE-OUT SHARES-FISCAL,1178.598,1170.825,493.161,382.65,315.875,183.352,97.447,NA
WASKITA KARYA - PRICE TO BOOK VAL,1.89,1.51,1.1,2.44,1.65,1.11,2.07,2.07
PT XL AXIATA TBK - RETURN ON ASSETS,-3.05,3.38,4.6,4.36,4.23,3.95,4.78,NA
