ISIN CODE,NAME,No,Country of Domicile
TH0530010Z06,CH. KARNCHANG PUBLIC ,945,THAILAND
TH0122C10Z04,KCE ELECTRONICS ,946,THAILAND
TH0121010001,KIATNAKIN BANK ,947,THAILAND
TH0689010Z00,KRUNGTHAI CARD ,948,THAILAND
TH0150010Z03,KRUNG THAI BANK PCL ,949,THAILAND
TH0143010Z08,LAND AND HOUSES ,950,THAILAND
TH0429010Z01,CP AXTRA PCL ,951,THAILAND
TH4984010009,MEGA LIFESCIENCES ,952,THAILAND
TH6068010Y02,MUANGTHAI CAPITAL ,953,THAILAND
TH0083B10Z02,THANACHART CAPITAL ,954,THAILAND
TH6789010001,ORIGIN PROP ,955,THAILAND
TH8752010000,OSOTSPA PCL ,956,THAILAND
TH0617A10Z08,AMATA CORPORATION ,957,THAILAND
TH0308010Y08,AP THAILAND PCL ,958,THAILAND
TH6253010008,PLAN B MEDIA PCL ,959,THAILAND
TH7595010003,PRUKSA HOLDING ,960,THAILAND
TH4547010009,PTG ENERGY PCL ,961,THAILAND
TH0646010Z00,PTT PCL ,962,THAILAND
TH0355A10Z04,PTT EXPLORATION ,963,THAILAND
TH1074010006,PTT GLOBAL CHE ,964,THAILAND
TH0256A10Z04,QUALITY HOUSES PCL ,965,THAILAND
TH0637010Y00,RATCH GROUP PCL ,966,THAILAND
TH9451010002,R&B FOOD SUPP ,967,THAILAND
TH0128B10Z09,MINOR INTERNATIONAL ,968,THAILAND
TH0697010Z03,RATCHTHANI LEASING ,969,THAILAND
TH0577C10Z04,SANSIRI ,971,THAILAND
TH0015010000,SIAM COMMERCIAL ,972,THAILAND
TH0003010Z04,SIAM CEMENT PCL ,973,THAILAND
TH0991010008,SIAM GLOBAL ,974,THAILAND
TH0201A10Y01,INTOUCH HOLDINGS PCL ,975,THAILAND
TH0371010Z05,SUPALAI PUBLIC CO ,976,THAILAND
TH0833010Y05,SUPER ENERGY ,977,THAILAND
TH6838010002,STAR PETROL ,978,THAILAND
TH9829010Z03,SRI TRANG GLOVES ,979,THAILAND
TH0254A10Z06,SRI TRANG AGRO-INDUS,980,THAILAND
TH0307010Z09,SINO THAI ENG ,981,THAILAND
TH5456010Y00,SRISAWAD CORP ,982,THAILAND
TH0554010Z06,TOTAL ACCESS ,983,THAILAND
TH0245010002,THAI AIRWAYS INT'L ,984,THAILAND
TH0221B10Z05,BTS GROUP HOLDINGS ,985,THAILAND
TH6927010004,TAOKAENOI FOOD ,986,THAILAND
TH0961010Y04,TTW PCL ,987,THAILAND
TH0016010009,KASIKORNBANK PLC ,988,THAILAND
TH0796010005,THAI OIL PCL ,989,THAILAND
TH0219010Z06,TIPCO ASPHALT PCL ,990,THAILAND
TH0999010Z03,TISCO FINANCIAL ,991,THAILAND
TH0068010Z07,TMB BANK PCL ,992,THAILAND
TH8193010007,TOA PAINT THAILAN ,993,THAILAND
TH0471010Y04,IRPC PCL ,994,THAILAND
TH7534010007,TPI POLENE POWER PCL ,995,THAILAND
TH0375010Z06,TRUE CORP PCL ,997,THAILAND
TH0450010Y08,THAI UNION GROUP ,998,THAILAND
TH0209010Z07,THAI VEGETABLE OIL ,999,THAILAND
TH3740010Y09,VGI PC ,1000,THAILAND
TH3871010Z01,WHA CORPORATION ,1001,THAILAND
TH7846010Z09,WHA UTILITIES AND ,1002,THAILAND
SG1BA1000003,AEM HOLDINGS LTD ,1003,SINGAPORE
SG1M77906915,CAPITALAND ASCENDAS ,1004,SINGAPORE
SG1V35936920,CAPITALAND ,1005,SINGAPORE
SG1M49904634,THOMSON MEDICAL ,1006,SINGAPORE
SG1T88932077,BUKIT SEMBAWANG ,1008,SINGAPORE
SG2E67980267,BUMITAMA AGRI LTD ,1009,INDONESIA
SG1T70931228,ESR-REIT,1010,SINGAPORE
SG1M51904654,CAPITALAND IN ,1011,SINGAPORE
SG1T66931158,CDL HOSPITALITY ,1012,SINGAPORE
SG1T06929205,CHINA AVIATION OIL ,1013,SINGAPORE
SG1U48933923,KEPPEL INFRASTRUCTUR ,1014,SINGAPORE
SG1R89002252,CITY DEVELOPMENTS ,1015,SINGAPORE
SG1N31909426,COMFORTDELGRO CORP ,1016,SINGAPORE
SG1S76928401,COSCO SHI ,1017,SINGAPORE
SG1U25933169,CAPITALAND CHINA ,1018,SINGAPORE
SG1G47869290,CSE GLOBAL LTD ,1019,SINGAPORE
SG1B51001017,JARDINE CYCLE ,1020,SINGAPORE
SG1J27887962,CAPITALAND LIMITED ,1021,SINGAPORE
SG1L01001701,DBS GROUP HOLDINGS ,1022,SINGAPORE
SG1T56930848,WILMAR INTERNATIONAL ,1023,SINGAPORE
SG1R95002270,GUOCOLAND LTD ,1024,SINGAPORE
SG2F08984575,,1025,SINGAPORE
SG1T58930911,FRASER & NEAVE LTD ,1026,SINGAPORE
SG2G52000004,FRASERS PROPERTY LTD ,1027,SINGAPORE
SG1T60930966,FRASERS CENTRE ,1028,SINGAPORE
SG1AA5000001,FRASERS HOSPITALITY ,1029,SINGAPORE
SG1W35938974,FIRST RESOURCES ,1030,SINGAPORE
KYG3488W1078,FIRST SPONSOR ,1031,SINGAPORE
SG1I55882803,GREAT EASTERN HLDGS ,1032,SINGAPORE
SGXE21576413,GENTING SINGAPORE ,1033,SINGAPORE
MU0117U00026,GOLDEN ,1034,SINGAPORE
SG1H41875896,HO BEE LAND LTD ,1035,SINGAPORE
SG1D25001158,HAW PAR CORPORATION ,1036,SINGAPORE
SG2P14002527,HOTEL PROPERTIES LTD ,1037,SINGAPORE
SG1AB9000005,JAPFA LTD ,1038,SINGAPORE
SG1AF6000009,KEPPEL DC REIT ,1040,SINGAPORE
SG1U68934629,KEPPEL LTD ,1041,SINGAPORE
SG1J21887414,UOB-KAY HIAN,1042,SINGAPORE
SG1T22929874,KEPPEL REIT ,1043,SINGAPORE
SG2C32962814,MAPLETREE INDUSTRIAL ,1044,SINGAPORE
SG2F55990442,MAPLETREE NORTH ,1045,SINGAPORE
SG2D63974620,AIMS APAC REIT ,1046,SINGAPORE
SG1S03926213,MAPLETREE LOGI ,1047,SINGAPORE
SG2D18969584,MAPLETREE COM ,1048,SINGAPORE
SG1DH9000006,NETLINK NBN TRUST ,1049,SINGAPORE
BMG6542T1505,NOBLE GROUP LIMITED ,1050,HONG KONG
SG1S04926220,OVERSEA-CHINESE,1051,SINGAPORE
SG2G60000004,OUE REAL ESTATE ,1052,SINGAPORE
SG1Q75923504,OLAM INTERNATION ,1053,SINGAPORE
SG2B80958517,OUE LTD ,1054,SINGAPORE
SG2F25986140,OXLEY HOLDINGS LTD ,1055,SINGAPORE
SG1Q25921608,DELFI LTD ,1056,SINGAPORE
SG1V52937132,PARKWAY LIFE REAL ,1057,SINGAPORE
SG1S18926810,STARHILL GLOBAL REIT ,1058,SINGAPORE
SG1CH4000003,RAFFLES MEDICAL ,1059,SINGAPORE
SG1U22933048,RIVERSTONE HLDGS ,1060,SINGAPORE
SG1V61937297,SINGAPORE AIRLINES ,1061,SINGAPORE
SG1ED2000000,SASSEUR REAL ,1062,SINGAPORE
SG1I52882764,SATS LTD ,1063,SINGAPORE
SG1R50925390,SEMBCORP INDUSTRIES ,1064,SINGAPORE
SG1P66918738,SINGAPORE PRESS HLDG ,1065,SINGAPORE
SG1I53882771,SIA ENGINEERING CO ,1066,SINGAPORE
SG1F58858209,SBS TRANSIT LTD ,1067,SINGAPORE
SG1M04001939,HONG LEONG FINANCE ,1068,SINGAPORE
SG1N89910219,SINGAPORE POST LTD ,1069,SINGAPORE
SG1J26887955,SINGAPORE EXCHANGE ,1070,SINGAPORE
SG2G02994595,PARAGON REIT ,1071,SINGAPORE
SG2D54973185,SHENG SIONG ,1072,SINGAPORE
SG1V12936232,STARHUB LTD ,1073,SINGAPORE
SG1F60858221,SINGAPORE TECH ,1074,SINGAPORE
SG1Q52922370,SUNTEC REAL ESTATE ,1075,SINGAPORE
SG1T75931496,SINGAPORE TELECOM ,1076,SINGAPORE
TH0902010014,THAI BEVERAGE ,1077,THAILAND
SG1K37001643,SINGAPORE LAND ,1078,SINGAPORE
SG1S83002349,UOL GROUP LTD ,1079,SINGAPORE
SG1M31001969,UNITED OVERSEAS BANK ,1080,SINGAPORE
SG0531000230,VENTURE CORP ,1081,SINGAPORE
SG1K66001688,WING TAI HLDGS LTD ,1082,SINGAPORE
SG1T57930854,YANLORD LAND GRP ,1083,SINGAPORE
TW0002345006,ACCTON TECHNOLOGY ,1084,TAIWAN
TW0001102002,ASIA CEMENT ,1085,TAIWAN
TW0002409000,AUO CORP ,1086,TAIWAN
TW0002395001,ADVANTECH CO LTD ,1087,TAIWAN
TW0003711008,ASE TECHNOLOGY ,1088,TAIWAN
TW0002352002,QISDA CORP ,1089,TAIWAN
TW0003682001,ASIA PACIFIC TELE ,1090,TAIWAN
TW0002353000,ACER INC ,1091,TAIWAN
TW0005269005,ASMEDIA TECH ,1092,TAIWAN
TW0002357001,ASUSTEK COMPUTER INC ,1093,TAIWAN
TW0002610003,CHINA AIRLINES LTD ,1094,TAIWAN
TW0006147002,CHIPBOND TECH CORP ,1095,TAIWAN
TW0002392008,CHENG UEI PRECISION ,1096,TAIWAN
TW0002882008,CATHAY FINANCIAL ,1097,TAIWAN
TW0002883006,KGI FINANCIAL ,1098,TAIWAN
TW0002801008,CHANG HWA BANK ,1099,TAIWAN
TW0002412004,CHUNGHWA TELECOM ,1100,TAIWAN
TW0002891009,CTBC FINANCIAL HOLD ,1101,TAIWAN
TW0002385002,CHICONY ELECTRONICS ,1102,TAIWAN
TW0002362001,CLEVO CO ,1103,TAIWAN
KYG202881093,CHAILEASE HOLDING ,1104,TAIWAN
TW0002360005,CHROMA ATE INC ,1105,TAIWAN
TW0002204005,CHINA MOTOR ,1106,TAIWAN
TW0002323003,CMC MAGNETICS CORP ,1107,TAIWAN
TW0002823002,CHINA LIFE INSURAN ,1108,TAIWAN
TW0002324001,COMPAL ELECTRONIC ,1109,TAIWAN
TW0001314003,CHINA PETROCHEMICAL ,1110,TAIWAN
TW0006005002,CAPITAL SECURITIES ,1111,TAIWAN
TW0002105004,CHENG SHIN RUBBER ,1112,TAIWAN
TW0002002003,CHINA STEEL CORP ,1113,TAIWAN
TW0002886009,MEGA FINANCIAL ,1114,TAIWAN
TW0002474004,CATCHER TECHNOLOGY ,1115,TAIWAN
TW0005371009,CORETRONIC CORP ,1116,TAIWAN
TW0002308004,DELTA ELECTRONIC IND ,1117,TAIWAN
TW0002618006,EVA AIRWAYS CORP ,1118,TAIWAN
TW0001476000,ECLAT TEXTILE CO ,1119,TAIWAN
TW0002607009,EVERGREEN INTL STOR ,1120,TAIWAN
TW0002393006,EVERLIGHT ELECTRONIC ,1121,TAIWAN
TW0002383007,ELITE MATERIAL CO ,1122,TAIWAN
TW0002884004,E SUN FINANCIAL HLDG ,1123,TAIWAN
TW0001717007,ETERNAL MATERIAL ,1124,TAIWAN
TW0002603008,EVERGREEN MARINE ,1125,TAIWAN
TW0002903002,FAR EAST DEPT STORES ,1126,TAIWAN
TW0004904008,FAR EASTONE TELECOM ,1127,TAIWAN
TW0002845005,FAR EASTERN INT'L BK ,1128,TAIWAN
TW0009910000,FENG TAY ENTERPRIS ,1129,TAIWAN
TW0001402006,FAR EASTERN ,1130,TAIWAN
TW0002015005,FENG HSIN STEEL ,1131,TAIWAN
TW0002892007,FIRST FINAN HLDG CO ,1132,TAIWAN
TW0002707007,FORMOSA INTL HOTELS ,1133,TAIWAN
TW0002354008,FOXCONN TECHNOLOGY ,1134,TAIWAN
TW0001326007,FORMOSA CHEMICALS ,1135,TAIWAN
TW0006505001,FORMOSA PETROCHE ,1136,TAIWAN
TW0001301000,FORMOSA PLASTIC ,1137,TAIWAN
TW0002885001,YUANTA FINANCIAL ,1138,TAIWAN
TW0001434009,FORMOSA TAFFETA CO ,1139,TAIWAN
TW0002881000,FUBON FINANCIAL ,1140,TAIWAN
TW0009921007,GIANT MANUFACTURING ,1141,TAIWAN
TW0006488000,GLOBALWAFERS CO LTD ,1142,TAIWAN
TW0006116007,HANNSTAR DISPLAY ,1143,TAIWAN
TW0002498003,HTC CORPORATION ,1144,TAIWAN
TW0002049004,HIWIN TECHNOLOGIES ,1145,TAIWAN
TW0002880002,HUA NAN FINANCIAL ,1146,TAIWAN
TW0002542008,HIGHWEALTH CONSTR ,1147,TAIWAN
TW0002317005,HOU HAI PRECISION ,1148,TAIWAN
TW0002207008,HOTAI MOTOR COMPANY ,1149,TAIWAN
TW0003481008,INNOLUX CORP ,1150,TAIWAN
TW0002356003,INVENTEC CORP ,1151,TAIWAN
TW0009933002,CTCI CORP ,1152,TAIWAN
TW0003189007,KINSUS INTERCONNECT ,1153,TAIWAN
TW0002449006,KING YUAN ELECTRO ,1154,TAIWAN
TW0002301009,LITEON TECHNOLOGY ,1155,TAIWAN
TW0003008009,LARGAN PRECISION CO  ,1156,TAIWAN
TW0002337003,MACRONIX INT'L ,1157,TAIWAN
TW0002454006,MEDIATEK INC ,1158,TAIWAN
TW0002439007,MERRY ELECTRONICS ,1159,TAIWAN
TW0009914002,MERIDA INDUSTRY CO ,1160,TAIWAN
TW0005522007,FARGLORY LAND ,1161,TAIWAN
TW0006244007,MOTECH IND INC ,1162,TAIWAN
TW0001477008,MAKALOT INDUSTRIAL ,1163,TAIWAN
TW0002377009,MICRO-STAR INT'L,1164,TAIWAN
TW0002101003,NAN KANG RUBBER TIRE ,1165,TAIWAN
TW0008464009,NIEN MADE ENTER ,1166,TAIWAN
TW0003034005,NOVATEK MICROELECT ,1167,TAIWAN
TW0001303006,NAN YA PLASTIC ,1168,TAIWAN
TW0002408002,NANYA TECHNOLOGY ,1169,TAIWAN
TW0004174008,OBI PHARMA INC ,1170,TAIWAN
TW0001710002,ORIENTAL UNION CHEM ,1171,TAIWAN
TW0008046004,NAN YA PRINTED CIR ,1172,TAIWAN
TW0009904003,POU CHEN CORP ,1173,TAIWAN
TW0002912003,PRESIDENT CHAIN ,1174,TAIWAN
TW0004938006,PEGATRON CORP ,1175,TAIWAN
TW0008299009,PHISON ELECTRONICS ,1176,TAIWAN
TW0003227005,PIXART IMAGING INC ,1177,TAIWAN
TW0006239007,POWERTECH TECHNOLOGY ,1178,TAIWAN
TW0001216000,UNI-PRESIDENT ENTERP,1179,TAIWAN
TW0008069006,E INK HOLDINGS INC ,1180,TAIWAN
TW0004915004,PRIMAX ELECTRONICS ,1181,TAIWAN
TW0002382009,QUANTA COMPUTER ,1182,TAIWAN
TW0002379005,REALETK SEMICONDUCTR ,1183,TAIWAN
TW0006176001,RADIANT OPTO ELECTR ,1184,TAIWAN
TW0009945006,RUENTEX DEVELOPMENT ,1185,TAIWAN
TW0002915006,RUENTEX INDUSTRIES ,1186,TAIWAN
TW0005483002,SINO-AMERICAN SILI,1187,TAIWAN
TW0003023008,SINBON ELECTRONICS ,1188,TAIWAN
TW0002890001,SINOPAC FIN HLDGS ,1189,TAIWAN
TW0001227007,STANDARD FOODS CORP ,1190,TAIWAN
KYG3808R1011,GENERAL INTERFAC ,1191,TAIWAN
TW0002888005,SHIN KONG FINANCIAL ,1192,TAIWAN
TW0006121007,SIMPLO TECHNOLOGY ,1193,TAIWAN
TW0001789006,SCINOPHA ,1194,TAIWAN
TW0005876007,SHANGHAI COMMERC ,1195,TAIWAN
TW0001565000,ST SHINE OPTICAL CO ,1196,TAIWAN
TW0002347002,SYNNEX TECHNOL INTL ,1197,TAIWAN
TW0003376000,SHIN ZU SHING CO ,1198,TAIWAN
TW0009917005,TAIWAN SECOM ,1199,TAIWAN
TW0002371002,TATUNG CO ,1200,TAIWAN
TW0005880009,TAIWAN COOPERATIVE ,1201,TAIWAN
TW0004147004,TAIMED BIOLOGICS INC ,1202,TAIWAN
TW0003045001,TAIWAN MOBILE ,1203,TAIWAN
TW0002451002,TRANSCEND INFORM ,1204,TAIWAN
TW0001101004,TCC GROUP HOLD ,1205,TAIWAN
TW0001504009,TECO ELECTRIC MA ,1206,TAIWAN
TW0001802007,TAIWAN GLASS IND ,1207,TAIWAN
TW0002006004,TUNG HO STEEL ENTERP ,1208,TAIWAN
TW0002633005,TAIWAN HIGH SPEED ,1209,TAIWAN
TW0002887007,TAISHIN FINANCIAL ,1210,TAIWAN
TW0001722007,TAIWAN FERTILIZER ,1211,TAIWAN
TW0001440006,TAINAN SPINNING ,1212,TAIWAN
KYG898431096,TPK HOLDING CO LTD ,1213,TAIWAN
TW0003044004,TRIPOD TECHNOLOGY ,1214,TAIWAN
TW0002330008,TAIWAN SEMI ,1215,TAIWAN
TW0002103009,TSRC CORP ,1216,TAIWAN
TW0006274004,TAIWAN UNION TECH ,1217,TAIWAN
TW0002834009,TAIWAN BUSINESS ,1218,TAIWAN
TW0008436007,TCI CO ,1219,TAIWAN
TW0002606001,U-MING MARINE TRANSP,1220,TAIWAN
TW0002303005,UNITED MICRO ELECTRO ,1221,TAIWAN
TW0005347009,VANGUARD ,1222,TAIWAN
TW0006409006,VOLTRONIC POWER ,1223,TAIWAN
TW0001605004,WALSIN LIHWA CORP ,1224,TAIWAN
TW0002615002,WAN HAI LINES LTD. ,1225,TAIWAN
TW0002344009,WINBOND ELECTRONIC ,1226,TAIWAN
TW0006669005,WIWYNN CORP ,1227,TAIWAN
TW0003702007,WPG HOLDINGS LIMITED ,1228,TAIWAN
TW0003105003,WIN SEMICONDUCTORS ,1229,TAIWAN
TW0003231007,WISTRON ,1230,TAIWAN
TW0002492006,WALSIN TECHNOLOGY ,1231,TAIWAN
TW0003037008,UNIMICRON TECH ,1232,TAIWAN
TW0002327004,YAGEO CO ,1233,TAIWAN
TW0002609005,YANGMING MARINE TRAN ,1234,TAIWAN
TW0003622007,YOUNG FAST ,1235,TAIWAN
TW0002201001,YULON MOTOR ,1236,TAIWAN
