Name,2014,2015,2016,2017
BANK CENTRAL ASIA - PRICE TO BOOK VAL,3.54,3.83,2.86,3.36
BANK DANAMON INDO - RETURN ON ASSETS,2.57,2.37,2.28,2.95
BANK DANAMON INDO - TOTAL DEBT % COMMON EQUITY,90.2,72.58,63.12,63.66
BANK DANAMON INDO - PRICE TO BOOK VAL,1.26,1.19,0.75,1.28
BANK MANDIRI - RETURN ON ASSETS,2.73,2.54,1.68,2.18
BANK MANDIRI - TOTAL DEBT % COMMON EQUITY,52.24,49.03,38.43,38.8
BANK MANDIRI - PRICE TO BOOK VAL,2.3,2.25,1.35,1.81
BUMI RESOURCES - RETURN ON ASSETS,7.07,-39.06,9.98,13.48
BUMI RESOURCES - TOTAL DEBT % COMMON EQUITY,-514.31,-180.38,-195.52,-454.64
BUMI RESOURCES - PRICE TO BOOK VAL,-0.72,-0.08,-0.05,-4.35
BANK NEGARA - RETURN ON ASSETS,2.86,2.13,2.27,2.37
BANK NEGARA - TOTAL DEBT % COMMON EQUITY,37.69,48.81,61.6,63.17
BANK NEGARA - PRICE TO BOOK VAL,1.52,1.64,0.94,1.27
BANK RAKYAT INDO - RETURN ON ASSETS,3.6,3.23,3.1,3.21
BANK RAKYAT INDO - TOTAL DEBT % COMMON EQUITY,71.98,74.07,59.43,59.08
BANK RAKYAT INDO - PRICE TO BOOK VAL,2.67,2.7,1.64,2.13
BUMI SERPONG DAMAI - RETURN ON ASSETS,16.41,8.21,6.19,12.83
BUMI SERPONG DAMAI - TOTAL DEBT % COMMON EQUITY,27.45,42.04,37.19,35.85
BUMI SERPONG DAMAI - PRICE TO BOOK VAL,1.82,2.02,1.68,1.36
BANK TABUNGAN` - RETURN ON ASSETS,1.48,1.89,NA,NA
BANK TABUNGAN` - TOTAL DEBT % COMMON EQUITY,168.07,173.7,146.13,176.8
BANK TABUNGAN` - PRICE TO BOOK VAL,0.97,0.9,0.91,1.24
GLOBAL ME - RETURN ON ASSETS,4.15,0.98,1.83,3.16
GLOBAL ME - TOTAL DEBT % COMMON EQUITY,63.63,76.47,89.23,115.24
GLOBAL ME - PRICE TO BOOK VAL,2.73,1.75,1.68,0.94
INDOFOOD CBP SUKSES - RETURN ON ASSETS,12.15,12.6,13.75,13.11
INDOFOOD CBP SUKSES - TOTAL DEBT % COMMON EQUITY,24.19,18.56,11.64,12.05
INDOFOOD CBP SUKSES - PRICE TO BOOK VAL,4.13,5.28,5.3,5.42
SEMEN INDONESIA - RETURN ON ASSETS,18.06,13.29,11.85,5.53
SEMEN INDONESIA - TOTAL DEBT % COMMON EQUITY,16.28,15.15,21.56,34.65
SEMEN INDONESIA - PRICE TO BOOK VAL,3.66,2.95,1.84,1.89
GUDANG GARAM TBK - RETURN ON ASSETS,11.75,12.34,11.99,12.9
GUDANG GARAM TBK - TOTAL DEBT % COMMON EQUITY,54.84,54.25,50.02,48.85
GUDANG GARAM TBK - PRICE TO BOOK VAL,3.2,2.41,3.53,3.49
INDOSAT TBK PT - RETURN ON ASSETS,0.68,2.49,5.04,5.02
INDOSAT TBK PT - TOTAL DEBT % COMMON EQUITY,201.33,221.45,177.34,161.72
INDOSAT TBK PT - PRICE TO BOOK VAL,1.63,1.66,2.7,2.91
PT VALE IND - RETURN ON ASSETS,7.59,2.57,0.23,-0.34
PT VALE IND - TOTAL DEBT % COMMON EQUITY,10.23,7.97,5.97,4.01
PT VALE IND - PRICE TO BOOK VAL,1.76,1.35,0.6,0.78
INDOFOOD SUKSES - RETURN ON ASSETS,6.17,4.6,6.12,6.16
INDOFOOD SUKSES - TOTAL DEBT % COMMON EQUITY,104.8,101.23,77.39,78
INDOFOOD SUKSES - PRICE TO BOOK VAL,2.31,2.23,2.08,2.44
INDAH KIAT PULP - RETURN ON ASSETS,3.59,5.05,4.59,7.24
INDAH KIAT PULP - TOTAL DEBT % COMMON EQUITY,150.14,149.69,132.98,124.79
INDAH KIAT PULP - PRICE TO BOOK VAL,0.23,0.16,0.13,0.31
HANJAYA - RETURN ON ASSETS,36.77,31.71,31.92,29.81
HANJAYA - TOTAL DEBT % COMMON EQUITY,21.4,0.19,0.25,0.32
HANJAYA - PRICE TO BOOK VAL,22.41,10.46,13.2,13.54
INDOCEMENT TUNG - RETURN ON ASSETS,19.08,15.51,13.52,6.38
INDOCEMENT TUNG - TOTAL DEBT % COMMON EQUITY,0.51,0.51,0.41,0.44
INDOCEMENT TUNG - PRICE TO BOOK VAL,3.42,3.56,2.29,2.7
INDO TAMBANGRAYA - RETURN ON ASSETS,15.02,5.42,11.1,20.1
INDO TAMBANGRAYA - TOTAL DEBT % COMMON EQUITY,0,0,0,0
INDO TAMBANGRAYA - PRICE TO BOOK VAL,2.75,1.46,0.72,1.33
PABRIK KERTAS TJIWI - RETURN ON ASSETS,2.53,1.73,1.83,2.3
PABRIK KERTAS TJIWI - TOTAL DEBT % COMMON EQUITY,143.39,160.76,146.84,143.85
PABRIK KERTAS TJIWI - PRICE TO BOOK VAL,0.27,0.16,0.13,0.33
JASA MARGA (PERSERO) - RETURN ON ASSETS,7.39,6.89,6.53,4.28
JASA MARGA (PERSERO) - TOTAL DEBT % COMMON EQUITY,164.23,178.53,200.25,228.21
JASA MARGA (PERSERO) - PRICE TO BOOK VAL,4.15,4.11,2.75,2.4
KALBE FARMA TBK PT - RETURN ON ASSETS,17.84,15.6,16.25,15.37
KALBE FARMA TBK PT - TOTAL DEBT % COMMON EQUITY,3.16,3.81,2.38,2.4
KALBE FARMA TBK PT - PRICE TO BOOK VAL,8.24,8.06,5.51,5.58
MATAHARI DEPARTMENT - RETURN ON ASSETS,51.63,52.09,47.18,37.64
MATAHARI DEPARTMENT - TOTAL DEBT % COMMON EQUITY,388.07,0,0,0
MATAHARI DEPARTMENT - PRICE TO BOOK VAL,230.03,47.42,28.39,19.24
MEDIA NUSAN - RETURN ON ASSETS,15.6,9.61,10.68,11.23
MEDIA NUSAN - TOTAL DEBT % COMMON EQUITY,35.92,42.36,42.97,42.31
MEDIA NUSAN - PRICE TO BOOK VAL,4.13,3.48,3.44,2.56
PERUSAHAAN GAS - RETURN ON ASSETS,14.38,8.46,6.01,3.33
PERUSAHAAN GAS - TOTAL DEBT % COMMON EQUITY,68.39,89.68,91.76,75.52
PERUSAHAAN GAS - PRICE TO BOOK VAL,3.87,2.45,1.27,1.33
PAKUWON JATI - RETURN ON ASSETS,21.34,8.2,9.92,9.66
PAKUWON JATI - TOTAL DEBT % COMMON EQUITY,74.46,67.99,60.34,52.59
PAKUWON JATI - PRICE TO BOOK VAL,2.96,3.09,2.83,2.96
LIPPO KARAWA - RETURN ON ASSETS,7.85,1.88,2.61,1.51
LIPPO KARAWA - TOTAL DEBT % COMMON EQUITY,64.08,75.47,73.58,60.62
LIPPO KARAWA - PRICE TO BOOK VAL,1.6,1.83,1.15,0.74
CHAROEN POKPHAND - RETURN ON ASSETS,10.97,10.19,10.46,11.62
CHAROEN POKPHAND - TOTAL DEBT % COMMON EQUITY,60.38,65.86,46.75,37.53
CHAROEN POKPHAND - PRICE TO BOOK VAL,5.79,4.12,3.77,3.13
TELKOM - RETURN ON ASSETS,11.9,11.27,12.47,12.96
TELKOM - TOTAL DEBT % COMMON EQUITY,34.59,46.07,37.68,38.26
TELKOM - PRICE TO BOOK VAL,3.52,3.71,4.27,4.84
SURYA CITRA MEDIA - RETURN ON ASSETS,34.96,33.93,33,26.55
SURYA CITRA MEDIA - TOTAL DEBT % COMMON EQUITY,13.1,11.32,6.05,1.72
SURYA CITRA MEDIA - PRICE TO BOOK VAL,13.26,14.17,13.91,10.72
SARANA MENARA - RETURN ON ASSETS,7.45,17.26,14.93,13.61
SARANA MENARA - TOTAL DEBT % COMMON EQUITY,199.99,128.94,92.63,126.71
SARANA MENARA - PRICE TO BOOK VAL,8.29,5.13,3.81,5.26
SUMMARECON AGUNG - RETURN ON ASSETS,11.32,7.13,3.71,3.63
SUMMARECON AGUNG - TOTAL DEBT % COMMON EQUITY,79.73,103.08,118.96,122.64
SUMMARECON AGUNG - PRICE TO BOOK VAL,3.25,4.63,3.56,2.94
BUKIT ASAM - RETURN ON ASSETS,15.94,13.88,12.24,23.2
BUKIT ASAM - TOTAL DEBT % COMMON EQUITY,26.37,22.04,22.73,7.15
BUKIT ASAM - PRICE TO BOOK VAL,2.68,2.48,1.27,1.67
TOWER BERSAMA - RETURN ON ASSETS,11.24,13.08,12.54,16.97
TOWER BERSAMA - TOTAL DEBT % COMMON EQUITY,403.5,1207.84,1215.39,659.96
TOWER BERSAMA - PRICE TO BOOK VAL,8.28,28.22,18.84,8.51
UNILEVER IND - RETURN ON ASSETS,43.06,39.6,40.01,39.83
UNILEVER IND - TOTAL DEBT % COMMON EQUITY,27.18,35.22,50.87,66.69
UNILEVER IND - PRICE TO BOOK VAL,49.11,68.52,69.01,71.9
UNITED TRACTORS - RETURN ON ASSETS,9.38,6.5,8.18,10.46
UNITED TRACTORS - TOTAL DEBT % COMMON EQUITY,7.08,6.02,2.72,10.31
UNITED TRACTORS - PRICE TO BOOK VAL,2.15,2.25,1.21,1.99
WASKITA KARYA - RETURN ON ASSETS,5.84,6.08,5.33,6.56
WASKITA KARYA - TOTAL DEBT % COMMON EQUITY,111.25,86.91,228.01,313.44
WASKITA KARYA - PRICE TO BOOK VAL,2.5,2.42,3.03,2.2
PT XL AXIATA TBK - RETURN ON ASSETS,0.92,2.44,3.49,3.12
PT XL AXIATA TBK - TOTAL DEBT % COMMON EQUITY,227.1,208.24,86.6,89.68
PT XL AXIATA TBK - PRICE TO BOOK VAL,3.3,2.38,1.61,1.51
ADVANTEST CORP - RETURN ON ASSETS,-15.81,5.19,3.21,6.8
ADVANTEST CORP - TOTAL DEBT % COMMON EQUITY,47.44,39.11,47.66,40.86
ADVANTEST CORP - PRICE TO BOOK VAL,1.35,2.64,1.87,2.85
JAPAN TOBACCO INC. - RETURN ON ASSETS,12.06,NA,9.47,8.3
JAPAN TOBACCO INC. - TOTAL DEBT % COMMON EQUITY,8.22,10.07,22.61,27.37
JAPAN TOBACCO INC.- PRICE TO BOOK VAL,2.37,3.32,3.21,2.67
ASAHI KASEI - RETURN ON ASSETS,5.6,5.52,4.48,5.33
ASAHI KASEI - TOTAL DEBT % COMMON EQUITY,33.29,24.85,43.16,34.99
ASAHI KASEI - PRICE TO BOOK VAL,0.94,1.49,0.87,1.16
ACCESS CO - RETURN ON ASSETS,0.56,-7.35,-4.14,1.02
ACCESS CO - TOTAL DEBT % COMMON EQUITY,0,0,0,0
ACCESS CO - PRICE TO BOOK VAL,0.67,1.73,0.92,1.09
ACOM CO LTD - RETURN ON ASSETS,2.47,2.76,2.68,-4.88
ACOM CO LTD - TOTAL DEBT % COMMON EQUITY,236.3,232.69,220.61,304.76
ACOM CO LTD - PRICE TO BOOK VAL,1.93,2.01,3.96,2.32
"AEON MALL CO., LTD.  - RETURN ON ASSETS",3.6,3.13,2.81,3.05
"AEON MALL CO., LTD.  - TOTAL DEBT % COMMON EQUITY",65.08,77.78,100.4,103.02
"AEON MALL CO., LTD.  - PRICE TO BOOK VAL",1.76,1.64,0.96,1.24
AEON FINANCIAL - RETURN ON ASSETS,1.08,1.26,1.33,1.31
AEON FINANCIAL - TOTAL DEBT % COMMON EQUITY,234.5,294.73,261.13,219.19
AEON FINANCIAL - PRICE TO BOOK VAL,1.8,2.06,1.51,1.3
AGC INC - RETURN ON ASSETS,0.95,2.32,2.68,3.57
AGC INC - TOTAL DEBT % COMMON EQUITY,44.85,42.84,39.62,41.31
AGC INC - PRICE TO BOOK VAL,0.57,0.84,0.7,0.88
AIFUL CORP - RETURN ON ASSETS,6.11,-4.9,2.63,2.56
AIFUL CORP - TOTAL DEBT % COMMON EQUITY,190.17,233.43,239.36,269.47
AIFUL CORP - PRICE TO BOOK VAL,1.85,1.81,1.6,1.37
AJINOMOTO CO INC - RETURN ON ASSETS,4.09,4.12,5.2,4.32
AJINOMOTO CO INC - TOTAL DEBT % COMMON EQUITY,23.87,31.6,42.41,56.98
AJINOMOTO CO INC - PRICE TO BOOK VAL,1.34,2.41,2.31,2.08
MEBUKI FINANCIAL - RETURN ON ASSETS,0.47,0.33,0.4,1.45
MEBUKI FINANCIAL - TOTAL DEBT % COMMON EQUITY,80.27,81.99,117.22,144.36
MEBUKI FINANCIAL - PRICE TO BOOK VAL,0.46,0.55,0.45,0.58
ALPS ALPINE - RETURN ON ASSETS,3.16,6.61,7.08,6.15
ALPS ALPINE - TOTAL DEBT % COMMON EQUITY,101.84,67.05,25.16,25.88
ALPS ALPINE - PRICE TO BOOK VAL,1.11,2.69,1.59,2.07
ALFRESA HOLDINGS - RETURN ON ASSETS,2.18,1.92,2.83,2.47
ALFRESA HOLDINGS - TOTAL DEBT % COMMON EQUITY,2.36,1.8,1.94,1.67
ALFRESA HOLDINGS - PRICE TO BOOK VAL,0.91,1.12,1.27,1.07
AMADA CO LTD - RETURN ON ASSETS,2.39,3.34,4.91,4.79
AMADA CO LTD - TOTAL DEBT % COMMON EQUITY,8.17,9.34,8.19,4.19
AMADA CO LTD - PRICE TO BOOK VAL,0.83,1.13,1.02,1.12
ANA HOLDINGS INC - RETURN ON ASSETS,1.27,2.12,3.83,4.77
ANA HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,111.89,102.7,89.11,79.41
ANA HOLDINGS INC - PRICE TO BOOK VAL,0.99,1.48,1.24,1.18
AOYAMA TRADING CO - RETURN ON ASSETS,3.84,3.74,3.25,3.01
AOYAMA TRADING CO - TOTAL DEBT % COMMON EQUITY,17.42,18.35,37.15,37.28
AOYAMA TRADING CO - PRICE TO BOOK VAL,0.63,1.09,0.91,0.89
AOZORA BANK LTD - RETURN ON ASSETS,0.91,0.94,0.97,1.03
AOZORA BANK LTD - TOTAL DEBT % COMMON EQUITY,144.52,212.22,203.05,220.58
AOZORA BANK LTD - PRICE TO BOOK VAL,0.85,1.39,1.04,1.1
HASEKO CORP - RETURN ON ASSETS,6.15,6.56,9.87,9.81
HASEKO CORP - TOTAL DEBT % COMMON EQUITY,141.81,89.17,94.48,59.64
HASEKO CORP - PRICE TO BOOK VAL,1.46,2.31,1.5,1.42
ASAHI INTECC CO - RETURN ON ASSETS,11.07,12.49,13.71,13.67
ASAHI INTECC CO - TOTAL DEBT % COMMON EQUITY,38.58,29.79,29.38,19.76
ASAHI INTECC CO - PRICE TO BOOK VAL,4.61,7.58,11.45,7.54
ASAHI GROUP - RETURN ON ASSETS,3.83,4.13,4.75,5.39
ASAHI GROUP - TOTAL DEBT % COMMON EQUITY,56.14,53.53,71.28,112.21
ASAHI GROUP - PRICE TO BOOK VAL,1.51,2.13,1.98,1.79
JAFCO GROUP CO LTD - RETURN ON ASSETS,9.1,12.12,7.56,4.92
JAFCO GROUP CO LTD - TOTAL DEBT % COMMON EQUITY,11.43,8.17,3.01,2.08
JAFCO GROUP CO LTD - PRICE TO BOOK VAL,0.86,1.09,0.69,0.79
AUTOBACS SEVEN CO - RETURN ON ASSETS,4.89,2.41,2.41,1.71
AUTOBACS SEVEN CO - TOTAL DEBT % COMMON EQUITY,5.69,4.96,4.8,6.52
AUTOBACS SEVEN CO - PRICE TO BOOK VAL,1.02,1.25,1.1,1.15
NISHIMATSU CONST. CO - RETURN ON ASSETS,1.75,2.57,4.11,5.3
NISHIMATSU CONST. CO - TOTAL DEBT % COMMON EQUITY,43.45,36.54,34.68,25.6
NISHIMATSU CONST. CO - PRICE TO BOOK VAL,0.67,0.83,0.77,0.9
AZBIL CORP - RETURN ON ASSETS,3.2,2.89,3.25,5.12
AZBIL CORP - TOTAL DEBT % COMMON EQUITY,13.69,12.29,9.95,8.52
AZBIL CORP - PRICE TO BOOK VAL,1.08,1.5,1.37,1.66
BROTHER INDUSTRIES - RETURN ON ASSETS,4.37,10.54,5.15,7.34
BROTHER INDUSTRIES - TOTAL DEBT % COMMON EQUITY,5.96,5.67,50.82,41.11
BROTHER INDUSTRIES - PRICE TO BOOK VAL,1.11,1.51,0.95,1.59
NISSHIN SEIFUN - RETURN ON ASSETS,3.28,3.19,3.24,3.56
NISSHIN SEIFUN - TOTAL DEBT % COMMON EQUITY,3.24,6,5.59,4.02
NISSHIN SEIFUN - PRICE TO BOOK VAL,0.87,1.24,1.43,1.38
EZAKI GLICO CO LTD - RETURN ON ASSETS,4.91,8.24,5.11,6.09
EZAKI GLICO CO LTD - TOTAL DEBT % COMMON EQUITY,17,8,3.88,17.02
EZAKI GLICO CO LTD - PRICE TO BOOK VAL,0.98,2.07,2.01,1.96
BRIDGESTONE CORP - RETURN ON ASSETS,8.41,7.66,7.33,7.81
BRIDGESTONE CORP - TOTAL DEBT % COMMON EQUITY,28.54,19.97,14.99,19.57
BRIDGESTONE CORP - PRICE TO BOOK VAL,1.28,1.71,1.25,1.52
"KOBE STEEL, LTD. - RETURN ON ASSETS",3.83,4.42,-0.28,-0.43
"KOBE STEEL, LTD. - TOTAL DEBT % COMMON EQUITY",126.86,94.63,122.03,127.66
"KOBE STEEL, LTD. - PRICE TO BOOK VAL",0.63,1.17,0.55,0.51
YAMAZAKI BAKING CO. - RETURN ON ASSETS,1.96,1.73,2.76,3.66
YAMAZAKI BAKING CO. - TOTAL DEBT % COMMON EQUITY,53.32,41.26,33.73,32.16
YAMAZAKI BAKING CO. - PRICE TO BOOK VAL,1.06,1.66,2.05,1.6
CALBEE - RETURN ON ASSETS,9.17,9.41,10.08,10.57
CALBEE - TOTAL DEBT % COMMON EQUITY,0.19,0.51,0.46,1.24
CALBEE - PRICE TO BOOK VAL,3.19,5.47,4.27,4.12
CAPCOM CO LTD - RETURN ON ASSETS,3.57,6.94,7.48,7.99
CAPCOM CO LTD - TOTAL DEBT % COMMON EQUITY,12.43,16.91,18.27,21.87
CAPCOM CO LTD - PRICE TO BOOK VAL,1.35,1.7,1.83,1.57
CASIO COMPUTER CO - RETURN ON ASSETS,4.72,7.42,8.57,5.26
CASIO COMPUTER CO - TOTAL DEBT % COMMON EQUITY,47.88,38.95,39.33,38.3
CASIO COMPUTER CO - PRICE TO BOOK VAL,1.59,2.86,2.15,2.09
TOKYO CENTURY CORP - RETURN ON ASSETS,1.25,1.14,1.25,1.27
TOKYO CENTURY CORP - TOTAL DEBT % COMMON EQUITY,881.55,831.04,800.84,773.15
TOKYO CENTURY CORP - PRICE TO BOOK VAL,1.1,1.3,1.17,1.04
"CHIBA BANK, LTD. - RETURN ON ASSETS",0.41,0.47,0.44,0.41
"CHIBA BANK, LTD. - TOTAL DEBT % COMMON EQUITY",53.67,67.51,81.13,107.32
"CHIBA BANK, LTD. - PRICE TO BOOK VAL",0.62,0.93,0.5,0.61
COMSYS HOLDINGS CORP - RETURN ON ASSETS,6.71,6.54,5.83,5.27
COMSYS HOLDINGS CORP - TOTAL DEBT % COMMON EQUITY,0.95,0.24,0.27,0.21
COMSYS HOLDINGS CORP - PRICE TO BOOK VAL,1.05,1,1.01,1.14
SUMITOMO REALTY/DEV. - RETURN ON ASSETS,2.09,2.23,2.27,2.47
SUMITOMO REALTY/DEV. - TOTAL DEBT % COMMON EQUITY,408.94,372.48,356.36,335
SUMITOMO REALTY/DEV. - PRICE TO BOOK VAL,2.51,2.59,1.44,1.32
CHUBU ELECTRIC POWER - RETURN ON ASSETS,-0.41,1.15,3.62,2.58
CHUBU ELECTRIC POWER - TOTAL DEBT % COMMON EQUITY,233.75,201.42,167.34,162.82
CHUBU ELECTRIC POWER - PRICE TO BOOK VAL,0.61,0.83,0.67,0.65
CANON INC. - RETURN ON ASSETS,5.86,4.96,3.16,4.69
CANON INC. - TOTAL DEBT % COMMON EQUITY,0.07,0.05,22.03,18.55
CANON INC. - PRICE TO BOOK VAL,1.22,1.6,1.22,1.41
WACOAL HOLDINGS CORP - RETURN ON ASSETS,3.88,2.99,3.79,4.28
WACOAL HOLDINGS CORP - TOTAL DEBT % COMMON EQUITY,8.85,6.47,5.41,3.49
WACOAL HOLDINGS CORP - PRICE TO BOOK VAL,0.62,0.92,0.72,0.82
COSMO ENERGY HOLD - RETURN ON ASSETS,NA,NA,-2.64,4.27
COSMO ENERGY HOLD - TOTAL DEBT % COMMON EQUITY,NA,414.41,701.37,477.7
COSMO ENERGY HOLD - PRICE TO BOOK VAL,NA,NA,0.73,0.61
COLOPL INC - RETURN ON ASSETS,42.89,36.63,31.74,11.81
COLOPL INC - TOTAL DEBT % COMMON EQUITY,0,0,0,0
COLOPL INC - PRICE TO BOOK VAL,8.29,7.31,4.33,2.07
NTT DATA GROUP CORP - RETURN ON ASSETS,1.66,2.03,3.69,3.47
NTT DATA GROUP CORP - TOTAL DEBT % COMMON EQUITY,61.02,57.79,54.94,81.48
NTT DATA GROUP CORP - PRICE TO BOOK VAL,1.32,2.04,2,1.98
CONCORDIA F - RETURN ON ASSETS,0.46,0.54,0.5,0.76
CONCORDIA F - TOTAL DEBT % COMMON EQUITY,70.07,178.17,110.41,185.12
CONCORDIA F - PRICE TO BOOK VAL,NA,NA,0.57,0.57
CHUGAI PHARMAC - RETURN ON ASSETS,7.33,8.29,6.96,9.11
CHUGAI PHARMAC - TOTAL DEBT % COMMON EQUITY,0.04,0.12,0.1,0.05
CHUGAI PHARMAC - PRICE TO BOOK VAL,2.47,3.4,3.26,3.33
KYOCERA CORPORATION - RETURN ON ASSETS,3.69,4.16,3.61,3.37
KYOCERA CORPORATION - TOTAL DEBT % COMMON EQUITY,1.88,1.42,1.43,1.06
KYOCERA CORPORATION - PRICE TO BOOK VAL,0.74,1.06,0.87,1.02
CANON MARKETING - RETURN ON ASSETS,3.51,3.35,3.82,4.24
CANON MARKETING - TOTAL DEBT % COMMON EQUITY,1.67,1.66,1.59,1.53
CANON MARKETING - PRICE TO BOOK VAL,0.79,1.06,0.93,1.03
COSMOS PHARMACEUT - RETURN ON ASSETS,8.26,7.54,6.73,8.55
COSMOS PHARMACEUT - TOTAL DEBT % COMMON EQUITY,12.2,26.33,35.01,23.4
COSMOS PHARMACEUT - PRICE TO BOOK VAL,3.82,4.88,5.07,5.02
CHUGOKU ELECTRIC - RETURN ON ASSETS,0.52,1.61,1.38,0.85
CHUGOKU ELECTRIC - TOTAL DEBT % COMMON EQUITY,307.45,318.4,322.9,355.88
CHUGOKU ELECTRIC - PRICE TO BOOK VAL,0.81,1.13,0.83,0.74
CITIZEN WATCH CO LTD - RETURN ON ASSETS,4.99,4.51,3.31,4.27
CITIZEN WATCH CO LTD - TOTAL DEBT % COMMON EQUITY,36.84,29.41,30.25,22.87
CITIZEN WATCH CO LTD - PRICE TO BOOK VAL,1.02,1.29,0.81,0.91
CHIYODA CORP - RETURN ON ASSETS,2.98,2.25,0.66,-8.31
CHIYODA CORP - TOTAL DEBT % COMMON EQUITY,5.81,5.38,5.2,6.6
CHIYODA CORP - PRICE TO BOOK VAL,1.46,1.42,1.34,1.09
CYBER AGENT INC - RETURN ON ASSETS,10.66,12.96,9.62,2.56
CYBER AGENT INC - TOTAL DEBT % COMMON EQUITY,0.05,0.28,1.45,1.54
CYBER AGENT INC - PRICE TO BOOK VAL,4.12,5.79,4.13,5.72
DAIICHI SANKYO - RETURN ON ASSETS,4.12,17.61,4.4,2.95
DAIICHI SANKYO - TOTAL DEBT % COMMON EQUITY,43.56,17.23,16.54,23.99
DAIICHI SANKYO - PRICE TO BOOK VAL,0.91,1.31,1.47,1.41
DAIKIN INDUSTRIES - RETURN ON ASSETS,5.24,5.88,6.42,7.09
DAIKIN INDUSTRIES - TOTAL DEBT % COMMON EQUITY,86.4,64.58,59.97,54.77
DAIKIN INDUSTRIES - PRICE TO BOOK VAL,1.6,2.57,2.42,2.42
DAIO PAPER CORP - RETURN ON ASSETS,2.03,2.74,2.72,2.22
DAIO PAPER CORP - TOTAL DEBT % COMMON EQUITY,380.41,242.81,222.17,195.03
DAIO PAPER CORP - PRICE TO BOOK VAL,1.07,1.07,0.94,1.16
DCM HOLDINGS - RETURN ON ASSETS,3.47,2.88,3.25,3.35
DCM HOLDINGS - TOTAL DEBT % COMMON EQUITY,73.33,61.89,80.56,78.28
DCM HOLDINGS - PRICE TO BOOK VAL,0.61,0.9,0.62,0.77
DAI-ICHI LIFE HOLD - RETURN ON ASSETS,0.21,0.33,0.36,0.45
DAI-ICHI LIFE HOLD - TOTAL DEBT % COMMON EQUITY,73.93,83.41,78.18,143.51
DAI-ICHI LIFE HOLD - PRICE TO BOOK VAL,1.62,2.35,1.32,1.4
RESONA HOLDINGS INC - RETURN ON ASSETS,0.55,0.5,0.42,0.35
RESONA HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,269.1,227.34,361.67,183.3
RESONA HOLDINGS INC - PRICE TO BOOK VAL,0.73,0.96,0.54,0.63
DAICEL CORP - RETURN ON ASSETS,4.86,6,7.32,7.59
DAICEL CORP - TOTAL DEBT % COMMON EQUITY,39.4,26.82,21.12,19.56
DAICEL CORP - PRICE TO BOOK VAL,0.96,1.64,1.25,1.16
KDDI CORP - RETURN ON ASSETS,7.44,8.69,8.97,9.29
KDDI CORP - TOTAL DEBT % COMMON EQUITY,40.51,33.96,34.47,29.73
KDDI CORP - PRICE TO BOOK VAL,1.51,2.15,2.18,1.95
DENSO CORP - RETURN ON ASSETS,7.1,5.37,4.87,5.2
DENSO CORP - TOTAL DEBT % COMMON EQUITY,16.22,13.44,15.26,10.57
DENSO CORP - PRICE TO BOOK VAL,1.03,1.63,0.99,1.03
DENA CO LTD - RETURN ON ASSETS,16.58,7.29,4.85,11.36
DENA CO LTD - TOTAL DEBT % COMMON EQUITY,0.92,1.46,1.58,1.96
DENA CO LTD - PRICE TO BOOK VAL,1.03,1.9,1.37,1.47
